episodes,avg_train_total_reward,avg_train_end_l2,avg_eval_total_reward,avg_eval_end_l2,eval_sod_reward,eval_sod_end_l2,time_elapsed,proportion_training,proportion_evalating,total_timesteps,loss,sample_r1,sample_a1
800,-7.299241654226225,0.0009946522243036648,-1.6022383026023865,2.8367377966391306e-06,-1.6022383026023865,2.8367377966391306e-06,16589,0.9955285949887172,0.004471405011282828,800000,7.216102855175173,0.0,"[[0.643,0.357],[0.402,0.598]]"
810,-7.11324046359799,0.0009660354745450357,-1.5488570606930356,2.782780551620163e-06,-1.5488570606930356,2.782780551620163e-06,16808,0.9955096378376229,0.004490362162377087,810000,7.027016995561299,-2.6503244043851715e-13,"[[0.644,0.356],[0.403,0.597]]"
820,-6.923823708247585,0.0009386402398768963,-1.4984149046399384,2.7007450434110522e-06,-1.4984149046399384,2.7007450434110522e-06,17028,0.9956001428376343,0.004399857162365681,820000,6.841286498984825,-0.016402398941803682,"[[0.066,0.934],[0.592,0.408]]"
830,-6.746594477568411,0.0009083676793306707,-1.4509600614162856,2.6116060797841855e-06,-1.4509600614162856,2.6116060797841855e-06,17246,0.9957173600459915,0.004282639954008499,830000,6.669744690322967,-3.677484983199976e-11,"[[0.644,0.356],[0.405,0.595]]"
840,-6.57808587812566,0.0008737334069191334,-1.403506432037832,2.5315584270574607e-06,-1.403506432037832,2.5315584270574607e-06,17472,0.9954088148059151,0.004591185194084877,840000,6.5035587101521495,-0.00031853844604884244,"[[0.16,0.84],[0.951,0.049]]"
850,-6.413539164429496,0.0008373057945051478,-1.355664552786173,2.4428618762165314e-06,-1.355664552786173,2.4428618762165314e-06,17694,0.995702236151995,0.004297763848004974,850000,6.340441570341809,-3.4878873956970446,"[[0.011,0.989],[0.805,0.195]]"
860,-6.249839394185751,0.0008282905178812144,-1.3090179873313477,2.3441742775775512e-06,-1.3090179873313477,2.3441742775775512e-06,17914,0.9957981564974254,0.0042018435025745725,860000,6.175754744411506,-77.91110959062206,"[[0.986,0.014],[0.01,0.99]]"
870,-6.088863085513665,0.0008021805253767654,-1.265708969425854,2.2892959650448143e-06,-1.265708969425854,2.2892959650448143e-06,18139,0.9958223479139465,0.004177652086053506,870000,6.018080996351937,-20.259902598963265,"[[0.022,0.978],[0.642,0.358]]"
880,-5.9322424355503305,0.0007625423130427721,-1.222022353594105,2.2103951459626514e-06,-1.222022353594105,2.2103951459626514e-06,18359,0.9959871758842137,0.004012824115786302,880000,5.862351898346632,-0.0009630205309676701,"[[0.65,0.35],[0.406,0.594]]"
890,-5.777942991272868,0.0007427758586007327,-1.1783468849918999,2.1394220472522327e-06,-1.1783468849918999,2.1394220472522327e-06,18581,0.995942644101567,0.004057355898433062,890000,5.708766890732096,-5.878030101773511,"[[0.65,0.35],[0.406,0.594]]"
900,-5.625831473755417,0.0007178847637022217,-1.136756548632517,2.054660468389805e-06,-1.136756548632517,2.054660468389805e-06,18802,0.996007607703396,0.00399239229660394,900000,5.558039883332554,-12.0351570132086,"[[0.65,0.35],[0.406,0.594]]"
910,-5.476516668991962,0.0007033837060845774,-1.0957223878098914,1.986579095870922e-06,-1.0957223878098914,1.986579095870922e-06,19025,0.9960413851516426,0.003958614848357403,910000,5.410939501845716,0.0,"[[0.65,0.35],[0.407,0.593]]"
920,-5.32848751972499,0.0006829858591477771,-1.0562422681768824,1.919334288391281e-06,-1.0562422681768824,1.919334288391281e-06,19243,0.9961475459371258,0.00385245406287411,920000,5.262365515860663,-6.052289215424628,"[[0.002,0.998],[0.982,0.018]]"
930,-5.18241480200281,0.000661938328451373,-1.018467672608571,1.849198545841864e-06,-1.018467672608571,1.849198545841864e-06,19465,0.9961247187827992,0.003875281217200833,930000,5.117739972877779,-4.906457406064712,"[[0.651,0.349],[0.407,0.593]]"
940,-5.040326858346058,0.0006162615555296394,-0.9838381447847376,1.8039470196156233e-06,-0.9838381447847376,1.8039470196156233e-06,19688,0.996186213916705,0.0038137860832949447,940000,4.977265786092169,-3.2816937167669576e-09,"[[0.651,0.349],[0.405,0.595]]"
950,-4.904262722759559,0.0005821909975644542,-0.9510571025674756,1.7359215387270412e-06,-0.9510571025674756,1.7359215387270412e-06,19908,0.9962452878334697,0.0037547121665303562,950000,4.844059073623497,-9.347806100382913,"[[0.651,0.349],[0.403,0.597]]"
960,-4.76923006207602,0.0005722126324885664,-0.9160261377973358,1.662596562660985e-06,-0.9160261377973358,1.662596562660985e-06,20130,0.9962851869761656,0.0037148130238343776,960000,4.706855134412729,-1.3035841739013438,"[[0.239,0.761],[0.406,0.594]]"
970,-4.6315234407170145,0.0005353210760371942,-0.883498039010644,1.6574272797636419e-06,-0.883498039010644,1.6574272797636419e-06,20351,0.9963362242047868,0.0036637757952131685,970000,4.5690674297932174,-10.75906233954079,"[[0.462,0.538],[0.759,0.241]]"
980,-4.479289961881599,0.0005425752217390976,-0.8384971066248195,1.5933761285458012e-06,-0.8384971066248195,1.5933761285458012e-06,20572,0.9964135865898122,0.0035864134101878478,980000,4.401841834130114,-1.1741435415461052,"[[0.65,0.35],[0.406,0.594]]"
990,-4.309005032500638,0.0005606930253130198,-0.7980683261603785,1.5442555538511707e-06,-0.7980683261603785,1.5442555538511707e-06,20793,0.9964377746654322,0.0035622253345679003,990000,4.238670017779804,-0.4291427678438523,"[[0.65,0.35],[0.408,0.592]]"
1000,-4.150037172290536,0.0005138505465499935,-0.7596561202484745,1.5264789695519868e-06,-0.7596561202484745,1.5264789695519868e-06,21014,0.9964265351382616,0.0035734648617383297,1000000,4.079064222583274,-0.00706517032213711,"[[0.002,0.998],[0.977,0.023]]"
1010,-3.9956694980625427,0.0005031781704061278,-0.7216391525684848,1.4719299327442779e-06,-0.7216391525684848,1.4719299327442779e-06,21234,0.9964871269707316,0.003512873029268429,1010000,3.9313024174286704,-12.215552435297067,"[[0.988,0.012],[0.012,0.988]]"
